Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5   -979.102mil  -1607.465mil      23798mil       9077mil   -979.102mil  -1607.465mil  T         90.00 Comment        
Designator TARGET_MECHANICAL_5   -979.102mil  -1607.465mil      23798mil      13940mil   -979.102mil  -1607.465mil  T         90.00 Comment        
Designator TARGET_MECHANICAL_5   -979.102mil  -1607.465mil      17911mil      13932mil   -979.102mil  -1607.465mil  T         90.00 Comment        
R19        SMD_0805             21675mil      11459mil      21675mil      11459mil      21675mil      11414mil  T         90.00 Res 0805       
R18        SMD_0805             21591mil      11681mil      21591mil      11681mil      21591mil      11726mil  T        270.00 Res 0805       
R17        SMD_0805         21378.417mil      11656mil  21378.417mil      11656mil  21378.417mil      11701mil  T        270.00 Res 0805       
R16        SMD_0805         21468.417mil      11656mil  21468.417mil      11656mil  21468.417mil      11611mil  T         90.00 Res 0805       
R15        SMD_0805             20360mil      12491mil      20360mil      12491mil      20315mil      12491mil  T        360.00 Res 0805       
R14        SMD_0805         20146.433mil  12744.976mil  20146.433mil  12744.976mil  20146.433mil  12789.976mil  T        270.00 Res SMD        
R13        SMD_0805         20596.433mil  12704.976mil  20596.433mil  12704.976mil  20596.433mil  12749.976mil  T        270.00 Res 0805       
R12        SMD_0805             19226mil      12238mil      19226mil      12238mil      19226mil      12193mil  T         90.00 Res SMD        
R11        smd_0805             19224mil      12388mil      19224mil      12388mil      19224mil      12433mil  T        270.00 Res3           
R7         SMD_0805             22810mil      11928mil      22810mil      11928mil      22810mil      11883mil  T         90.00 Res 0805       
R6         SMD_0805             19456mil      10687mil      19456mil      10687mil      19456mil      10732mil  T        270.00 Res 0805       
R5         SMD_0805             21422mil      10420mil      21422mil      10420mil      21422mil      10375mil  B         90.00 Res 0805       
R4         SMD_0805         21468.417mil      11856mil  21468.417mil      11856mil  21468.417mil      11811mil  T         90.00 Res 0805       
R3         SMD_0805             22325mil      11054mil      22325mil      11054mil      22325mil      11099mil  T        270.00 Res 0805       
R2         SMD_0805             20820mil      10856mil      20820mil      10856mil      20820mil      10811mil  B         90.00 Res 0805       
R1         SMD_0805             21428mil      10843mil      21428mil      10843mil      21428mil      10798mil  B         90.00 Res 0805       
Q10        SOT-23B              19447mil      11467mil      19447mil      11467mil  19496.213mil  11429.598mil  T         90.00 ZXMN3B14FTA    
Q9         SOT-23B              19457mil      11977mil      19457mil      11977mil  19506.213mil  11939.598mil  T         90.00 ZXMN3B14FTA    
Q8         SOT-23B              19455mil      11730mil      19455mil      11730mil  19504.213mil  11692.598mil  T         90.00 ZXMN3B14FTA    
Q3         SOT-23B          19653.758mil  13217.758mil  19653.758mil  13217.758mil  19604.546mil   13255.16mil  T        270.00 ZXMN3B14FTA    
Q2         SOT-23B              20702mil      13228mil      20702mil      13228mil  20652.787mil  13265.402mil  T        270.00 ZXMN3B14FTA    
Q1         SOT-23B              20184mil      13213mil      20184mil      13213mil  20134.787mil  13250.402mil  T        270.00 ZXMN3B14FTA    
P6         HDR2X7               19299mil      10837mil      19349mil      10537mil      19349mil      10537mil  T         90.00 Header 7X2     
P4         Phoenix_M12,_4-Pos  18800.433mil      10971mil      18515mil      10971mil  18928.386mil  11069.425mil  T        270.00 CONN, 4 PIN, Round
P2         HDR2X10              20573mil      10543mil      20523mil      10993mil      20523mil      10993mil  T        270.00 Header 10X2    
P1         HDR_1x12_PHX_RT_ANGLE      23005mil      12461mil      23005mil      12461mil      23005mil      13286mil  T         90.00 Header 12 for screw term
K1         Relay_Omron_G6SK      19534mil      12626mil      19384mil      12876mil      19384mil      12876mil  T        270.00 Latching, 24V  
J3         Wurth_7498011002    22557.5mil      10311mil      22795mil      10311mil      22320mil      10486mil  T        270.00 Wurth Elektronik 7498011002
J2         DB15_HD_PCB          18885mil      12791mil      18885mil      12301mil      18985mil  12623.047mil  T        270.00 D Connector 15 
J1         61729-0010BLF    22698.346mil      11161mil      22645mil      11161mil  22595.787mil  11210.213mil  T         90.00 61729-0010BLF  
FER2       smd_0805             21811mil      12874mil      21811mil      12874mil      21811mil      12829mil  T         90.00 MI0805K400R-10 
FER1       smd_0805             21421mil      13054mil      21421mil      13054mil      21421mil      13099mil  T        270.00 MI0805K400R-10 
F2         SMD_1206             19128mil      12946mil      19128mil      12946mil      19128mil      13001mil  T        270.00 Res 0805       
F1         PolySwitch_Radial_0.2      20811mil      12854mil      20811mil      12854mil      20811mil      12954mil  T        270.00 RUEF400        
D9         DIODE_SMC            22611mil      12644mil      22611mil      12644mil      22611mil      12794mil  T        270.00 SMCJ5.0A       
D8         DIODE_SMC            21991mil      12644mil      21991mil      12644mil      21991mil      12794mil  T        270.00 SMCJ7.0A       
D7         DIODE_SMC            21631mil      12644mil      21631mil      12644mil      21631mil      12794mil  T        270.00 SMCJ30A        
D6         DIODE_SMC            21241mil      12654mil      21241mil      12654mil      21241mil      12804mil  T        270.00 SMCJ30A        
D2         SOT-143              21065mil      11238mil      21065mil      11238mil  21094.528mil  11194.693mil  B        180.00 SP0503BAHT     
D1         SOT-143              22434mil      11063mil      22434mil      11063mil  22463.528mil  11106.307mil  T        180.00 SP0503BAHT     
C40        SMD_0805             20679mil      11646mil      20679mil      11646mil      20679mil      11691mil  T        270.00 Cap SMD        
C39        EEE-FK1V101XP        22591mil      13084mil      22591mil      13084mil      22591mil      12986mil  T        360.00 100u, EEE-FK1V101XP
C38        EEE-FK1V101XP        21991mil      13084mil      21991mil      13084mil      21991mil      12986mil  T          0.00 100u, EEE-FK1V101XP
C37        EEE-FK1V101XP        21631mil      13084mil      21631mil      13084mil      21631mil      12986mil  T          0.00 100u, EEE-FK1V101XP
C35        SMD_0805         20216.433mil  12744.976mil  20216.433mil  12744.976mil  20216.433mil  12699.976mil  T         90.00 Cap SMD        
C33        SMD_0805             21341mil      13054mil      21341mil      13054mil      21341mil      13099mil  T        270.00 Cap SMD        
C32        SMD_0805             21011mil      12994mil      21011mil      12994mil      20966mil      12994mil  T        360.00 Cap SMD        
C31        SMD_0805             21011mil      12914mil      21011mil      12914mil      20966mil      12914mil  T        360.00 Cap SMD        
