Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       6218mil       5401mil  -9866.142mil -10306.299mil  T        360.00 Comment        
Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       -761mil       5318mil  -9866.142mil -10306.299mil  T        360.00 Comment        
Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       -778mil      -1854mil  -9866.142mil -10306.299mil  T        360.00 Comment        
SW1        SMD_DIP_GULL_WING_16PIN   3120.464mil    3933.37mil   3470.464mil    3763.87mil   3470.464mil    3763.87mil  B         90.00 SW-SPST-8POS   
L3B        SMD_1210_INDUCT   3376.606mil   2698.055mil   3376.606mil   2698.055mil   3376.606mil   2763.055mil  B        270.00 Inductor       
L3C        SMD_1210_INDUCT   4427.788mil   2698.055mil   4427.787mil   2698.055mil   4427.788mil   2763.055mil  B        270.00 Inductor       
L4B        SMD_1210_INDUCT   3490.606mil   2443.055mil   3490.606mil   2443.055mil   3490.606mil   2378.055mil  B         90.00 Inductor       
L4C        SMD_1210_INDUCT   4541.788mil   2443.055mil   4541.787mil   2443.055mil   4541.788mil   2378.055mil  B         90.00 Inductor       
C11A       SMD_0805          1998.362mil   1712.055mil   1998.362mil   1712.055mil   1953.362mil   1712.055mil  B        360.00 Cap            
C14A       SMD_0805          1908.362mil   1552.055mil   1908.362mil   1552.055mil   1953.362mil   1552.055mil  B        180.00 Cap            
C4A        SMD_0805          2181.362mil   1204.055mil   2181.362mil   1204.055mil   2226.362mil   1204.055mil  B        180.00 Cap            
C5A        SMD_0805          2021.362mil   1204.055mil   2021.362mil   1204.055mil   1976.362mil   1204.055mil  B        360.00 Cap            
C9A        SMD_0805          2381.362mil   1414.055mil   2381.362mil   1414.055mil   2381.362mil   1459.055mil  B        270.00 Cap            
C10A       SMD_CAP_6032      2491.362mil   1554.055mil   2491.362mil   1554.055mil   2491.362mil   1669.055mil  B        270.00 35V            
C13A       SMD_0805          2051.362mil   1594.055mil   2051.362mil   1594.055mil   2051.362mil   1549.055mil  B         90.00 Cap            
C15A       SMD_CAP_3216      2201.362mil   1544.055mil   2201.362mil   1544.055mil   2256.362mil   1544.055mil  B        360.00 Cap Pol        
L1A        SMD_1210_INDUCT   2231.362mil   1324.055mil   2231.362mil   1324.055mil   2296.362mil   1324.055mil  B        180.00 Inductor       
L2A        SMD_1210_INDUCT   2211.362mil   1694.055mil   2211.362mil   1694.055mil   2146.362mil   1694.055mil  B        360.00 Inductor       
C3A        SMD_0805          2238.362mil   1832.055mil   2238.362mil   1832.055mil   2193.362mil   1832.055mil  B        360.00 Cap            
C3D        SMD_0805          5368.284mil   1832.055mil   5368.283mil   1832.055mil   5323.284mil   1832.055mil  B        360.00 Cap            
C4D        SMD_0805          5311.284mil   1204.055mil   5311.283mil   1204.055mil   5356.284mil   1204.055mil  B        180.00 Cap            
C5D        SMD_0805          5151.284mil   1204.055mil   5151.283mil   1204.055mil   5106.284mil   1204.055mil  B        360.00 Cap            
C9D        SMD_0805          5511.284mil   1414.055mil   5511.283mil   1414.055mil   5511.284mil   1459.055mil  B        270.00 Cap            
C10D       SMD_CAP_6032      5621.284mil   1554.055mil   5621.283mil   1554.055mil   5621.284mil   1669.055mil  B        270.00 35V            
C11D       SMD_0805          5128.284mil   1712.055mil   5128.283mil   1712.055mil   5083.284mil   1712.055mil  B        360.00 Cap            
C13D       SMD_0805          5181.284mil   1594.055mil   5181.283mil   1594.055mil   5181.284mil   1549.055mil  B         90.00 Cap            
C14D       SMD_0805          5038.284mil   1552.055mil   5038.283mil   1552.055mil   5083.284mil   1552.055mil  B        180.00 Cap            
C15D       SMD_CAP_3216      5331.284mil   1544.055mil   5331.283mil   1544.055mil   5386.284mil   1544.055mil  B        360.00 Cap Pol        
C16A       SMD_CAP_3216      2219.362mil   2448.055mil   2219.362mil   2448.055mil   2219.362mil   2503.055mil  B         90.00 Cap Pol        
C16D       SMD_CAP_3216      5349.284mil   2448.055mil   5349.283mil   2448.055mil   5349.284mil   2503.055mil  B         90.00 Cap Pol        
C18A       SMD_0805          2299.362mil   2518.055mil   2299.362mil   2518.055mil   2299.362mil   2563.055mil  B        270.00 Cap            
C18D       SMD_0805          5429.284mil   2518.055mil   5429.283mil   2518.055mil   5429.284mil   2563.055mil  B        270.00 Cap            
C19A       SMD_0805          2219.362mil   2668.055mil   2219.362mil   2668.055mil   2219.362mil   2623.055mil  B         90.00 Cap            
C19D       SMD_0805          5349.284mil   2668.055mil   5349.283mil   2668.055mil   5349.284mil   2623.055mil  B         90.00 Cap            
C20A       SMD_0805          2161.362mil   3026.055mil   2161.362mil   3026.055mil   2161.362mil   2981.055mil  B         90.00 Cap            
C20D       SMD_0805          5291.284mil   3026.055mil   5291.283mil   3026.055mil   5291.284mil   2981.055mil  B         90.00 Cap            
C21A       SMD_CAP_3216      2401.362mil   3056.055mil   2401.362mil   3056.055mil   2401.362mil   3111.055mil  B         90.00 Cap Pol        
C21D       SMD_CAP_3216      5531.284mil   3056.055mil   5531.283mil   3056.055mil   5531.284mil   3111.055mil  B         90.00 Cap Pol        
C22A       SMD_0805          2371.362mil   3336.055mil   2371.362mil   3336.055mil   2371.362mil   3381.055mil  B        270.00 Cap            
C22D       SMD_0805          5501.284mil   3336.055mil   5501.283mil   3336.055mil   5501.284mil   3381.055mil  B        270.00 Cap            
C23A       SMD_0805          2531.362mil   3176.055mil   2531.362mil   3176.055mil   2576.362mil   3176.055mil  B        180.00 Cap            
C23D       SMD_0805          5661.284mil   3176.055mil   5661.283mil   3176.055mil   5706.284mil   3176.055mil  B        180.00 Cap            
C24A       SMD_CAP_3216      2101.362mil   3246.055mil   2101.362mil   3246.055mil   2156.362mil   3246.055mil  B        360.00 Cap Pol        
