Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           fid                    300mil        900mil        300mil        900mil        300mil        900mil  T        360.00                
           fid                   5700mil        140mil       5700mil        140mil       5700mil        140mil  T        360.00                
           fid                    300mil       4100mil        300mil       4100mil        300mil       4100mil  T        360.00                
C89        0603                3422.5mil   1899.992mil       3395mil       1900mil       3395mil   1899.992mil  T        360.00 0.1uF          
C90        0603                3422.5mil   1764.992mil       3395mil       1765mil       3395mil   1764.992mil  T        360.00 0.1uF          
C91        0603              3209.992mil     1192.5mil       3210mil       1220mil   3209.992mil       1220mil  T        270.00 0.1uF          
C92        0603              3279.992mil     1192.5mil       3280mil       1220mil   3279.992mil       1220mil  T        270.00 0.1uF          
C93        0603              3094.992mil     1192.5mil       3095mil       1220mil   3094.992mil       1220mil  T        270.00 0.1uF          
C94        0603              3029.992mil     1192.5mil       3030mil       1220mil   3029.992mil       1220mil  T        270.00 0.1uF          
C95        0603              2804.992mil     1192.5mil       2805mil       1220mil   2804.992mil       1220mil  T        270.00 0.1uF          
C96        0603              2739.992mil     1192.5mil       2740mil       1220mil   2739.992mil       1220mil  T        270.00 0.1uF          
C97        0603              2594.992mil     1192.5mil       2595mil       1220mil   2594.992mil       1220mil  T        270.00 0.1uF          
C98        0603                2382.5mil   2030.008mil       2410mil       2030mil       2410mil   2030.008mil  T        180.00 0.1uF          
C99        0603                2392.5mil   1490.008mil       2420mil       1490mil       2420mil   1490.008mil  T        180.00 0.1uF          
C100       0603                4942.5mil    545.008mil       4970mil        545mil       4970mil    545.008mil  T        180.00 0.1uF          
C101       size_a                 280mil       1879mil        280mil       1810mil        280mil       1810mil  T         90.00 10uF 6V        
C102       size_a                 730mil       1889mil        730mil       1820mil        730mil       1820mil  T         90.00 10uF 6V        
C103       0603                2382.5mil   2175.008mil       2410mil       2175mil       2410mil   2175.008mil  T        180.00 0.1uF          
C104       Size_B             4949.78mil     335.15mil       4950mil        430mil    4949.78mil     430.15mil  T        270.00 47uF 6V        
C105       0603               404.992mil     1837.5mil        405mil       1865mil    404.992mil       1865mil  T        270.00 0.1uF          
C106       0603               849.992mil     1832.5mil        850mil       1860mil    849.992mil       1860mil  T        270.00 0.1uF          
C107       Size_B             5089.78mil     335.15mil       5090mil        430mil    5089.78mil     430.15mil  T        270.00 47uF 6V        
C108       0603                5417.5mil   1669.992mil       5390mil       1670mil       5390mil   1669.992mil  T        360.00 0.1uF          
C109       size_a                2565mil        981mil       2565mil       1050mil       2565mil       1050mil  T        270.00 10uF 6V        
C110       0805                  4625mil       1610mil       4670mil       1610mil       4670mil       1610mil  T        180.00 0.47uF         
C111       size_a                3395mil       1106mil       3395mil       1175mil       3395mil       1175mil  T        270.00 10uF 6V        
C112       size_a                4889mil       1605mil       4820mil       1605mil       4820mil       1605mil  T        360.00 10uF 6V        
C113       0603                4722.5mil   1724.992mil       4695mil       1725mil       4695mil   1724.992mil  T        360.00 0.1uF          
C126       size_a                2380mil       1301mil       2380mil       1370mil       2380mil       1370mil  T        270.00 10uF 6V        
C127       size_a                3565mil       1869mil       3565mil       1800mil       3565mil       1800mil  T         90.00 10uF 6V        
C128       0603                3422.5mil   1835.008mil       3450mil       1835mil       3450mil   1835.008mil  T        180.00 0.1uF          
C130       0603                3422.5mil   1660.008mil       3450mil       1660mil       3450mil   1660.008mil  T        180.00 0.1uF          
C132       0603                2392.5mil   1554.992mil       2365mil       1555mil       2365mil   1554.992mil  T        360.00 0.1uF          
C134       0603                2392.5mil   1889.992mil       2365mil       1890mil       2365mil   1889.992mil  T        360.00 0.1uF          
C136       size_a                3314mil       2240mil       3245mil       2240mil       3245mil       2240mil  T        360.00 10uF 6V        
C137       0603              2000.008mil     1337.5mil       2000mil       1310mil   2000.008mil       1310mil  T         90.00 0.1uF          
C138       0603              5385.008mil     1502.5mil       5385mil       1475mil   5385.008mil       1475mil  T         90.00 0.1uF          
C140       0603                1182.5mil   2500.008mil       1210mil       2500mil       1210mil   2500.008mil  T        180.00 0.1uF          
C141       0603                 812.5mil   2635.008mil        840mil       2635mil        840mil   2635.008mil  T        180.00 0.1uF          
C142       0603              1545.008mil     1362.5mil       1545mil       1335mil   1545.008mil       1335mil  T         90.00 0.1uF          
D3         BAT54C-V           2404.37mil   1722.598mil       2365mil       1760mil       2365mil       1760mil  T        270.00 BAT54C-V       
D4         BAT54C-V          2252.402mil    2119.37mil       2215mil       2080mil       2215mil       2080mil  T        360.00 BAT54C-V       
D5         LED_J-LEAD        4419.842mil       2800mil       4360mil       2800mil       4360mil       2800mil  T        360.00 SML10G4-TR     
L1         1812              5260.037mil    347.624mil       5260mil        255mil   5260.037mil    255.124mil  T         90.00 56uHn          
L2         1206                5007.5mil       4070mil       5075mil       4070mil       5075mil       4070mil  T        180.00 600R           
L3         1812              5104.963mil   3622.376mil       5105mil       3715mil   5104.963mil   3714.876mil  T        270.00 56uHn          
L4         1812              5627.624mil    979.963mil       5535mil        980mil   5535.124mil    979.963mil  T        360.00 56uHn          
L5         1206                4242.5mil       1215mil       4175mil       1215mil       4175mil       1215mil  T        360.00 600R           
L7         1812              3584.963mil   1557.376mil       3585mil       1650mil   3584.963mil   1649.876mil  T        270.00 56uHn          
R1         0603                3662.5mil   3084.992mil       3635mil       3085mil       3635mil   3084.992mil  T        360.00 10K            
R2         0603              4245.008mil     2387.5mil       4245mil       2360mil   4245.008mil       2360mil  T         90.00 24R9           
R3         0603                3662.5mil   3150.016mil       3690mil   3150.008mil       3690mil   3150.016mil  T        180.00 100K           
R4         0805                  3530mil       3690mil       3530mil       3735mil       3530mil       3735mil  T        270.00 390R           
R5         0603              4939.992mil     2907.5mil       4940mil       2935mil   4939.992mil       2935mil  T        270.00 22R            
R6         0603              4940.008mil     3087.5mil       4940mil       3060mil   4940.008mil       3060mil  T         90.00 22R            
R7         0603                3652.5mil   3540.008mil       3680mil       3540mil       3680mil   3540.008mil  T        180.00 1K             
R8         0603                3652.5mil   3474.992mil       3625mil       3475mil       3625mil   3474.992mil  T          0.00 1K             
R9         0603                4727.5mil   3920.008mil       4755mil       3920mil       4755mil   3920.008mil  T        180.00 10K            
R10        0603                3667.5mil   3214.992mil       3640mil       3215mil       3640mil   3214.992mil  T          0.00 10K            
R11        0603                4732.5mil   3335.008mil       4760mil       3335mil       4760mil   3335.008mil  T        180.00 1K             
R12        0603              4224.992mil     1642.5mil       4225mil       1670mil   4224.992mil       1670mil  T        270.00 22R            
R13        0603              5220.008mil      797.5mil       5220mil        770mil   5220.008mil        770mil  T         90.00 10K            
R14        0603                5382.5mil   1095.008mil       5410mil       1095mil       5410mil   1095.008mil  T        180.00 100K           
R15        0603              5290.008mil      797.5mil       5290mil        770mil   5290.008mil        770mil  T         90.00 36K            
R16        0603              4154.992mil     1642.5mil       4155mil       1670mil   4154.992mil       1670mil  T        270.00 22R            
R17        0603                4727.5mil   3844.992mil       4700mil       3845mil       4700mil   3844.992mil  T          0.00 10K            
R18        0603                5252.5mil   1095.008mil       5280mil       1095mil       5280mil   1095.008mil  T        180.00 100K           
R19        0603              2880.016mil     1192.5mil   2880.008mil       1165mil   2880.016mil       1165mil  T         90.00 220R           
R20        0603              2945.008mil     1192.5mil       2945mil       1165mil   2945.008mil       1165mil  T         90.00 330R           
R21        0603              4039.992mil     1672.5mil       4040mil       1700mil   4039.992mil       1700mil  T        270.00 10K            
R22        0603                4732.5mil   3204.992mil       4705mil       3205mil       4705mil   3204.992mil  T        360.00 22R            
R23        0603              3590.008mil     1197.5mil       3590mil       1170mil   3590.008mil       1170mil  T         90.00 100R           
R24        0603              5064.992mil     1377.5mil       5065mil       1405mil   5064.992mil       1405mil  T        270.00 22R            
R25        0603                1247.5mil   3965.008mil       1275mil       3965mil       1275mil   3965.008mil  T        180.00 3K             
R26        0603                1257.5mil   3014.992mil       1230mil       3015mil       1230mil   3014.992mil  T        360.00 3K             
R27        0603                2392.5mil   4004.992mil       2365mil       4005mil       2365mil   4004.992mil  T        360.00 3K             
R28        0603                2382.5mil   3060.008mil       2410mil       3060mil       2410mil   3060.008mil  T        180.00 3K             
R29        0805                  4220mil       2725mil       4220mil       2770mil       4220mil       2770mil  T        270.00 390R           
R30        0603              5230.008mil     2342.5mil       5230mil       2315mil   5230.008mil       2315mil  T         90.00 1K             
R31        0603              5254.992mil     2617.5mil       5255mil       2645mil   5254.992mil       2645mil  T        270.00 10K            
R32        0603              5370.008mil     2342.5mil       5370mil       2315mil   5370.008mil       2315mil  T         90.00 100K           
R33        0805                   350mil       2860mil        350mil       2815mil        350mil       2815mil  T         90.00 390R           
R34        0805                   465mil       2860mil        465mil       2815mil        465mil       2815mil  T         90.00 390R           
R35        0805                   580mil       2860mil        580mil       2815mil        580mil       2815mil  T         90.00 390R           
R36        0805                   625mil       3455mil        625mil       3500mil        625mil       3500mil  T        270.00 390R           
R37        0805                   510mil       3455mil        510mil       3500mil        510mil       3500mil  T        270.00 390R           
R38        0805                   395mil       3455mil        395mil       3500mil        395mil       3500mil  T        270.00 390R           
R39        0603              5299.992mil     2462.5mil       5300mil       2490mil   5299.992mil       2490mil  T        270.00 1K02           
R40        0603              5230.008mil     2462.5mil       5230mil       2435mil   5230.008mil       2435mil  T         90.00 1K78           
