Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil       -624mil      -1091mil -27864.189mil -16698.189mil  T          0.00 Comment        
           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil       7364mil       8065mil -27864.189mil -16698.189mil  T          0.00 Comment        
           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil      -1340mil       8148mil -27864.189mil -16698.189mil  T          0.00 Comment        
U1         SuperFin_Footprint   2891.472mil   3340.677mil   3881.827mil    2600.52mil   3366.866mil   2583.197mil  T         90.00 SuperFin Module
D49        LED_SMD_0402      1166.331mil   4440.811mil   1166.331mil   4440.811mil   1148.614mil   4440.811mil  T        360.00 LED SMD 0402   
D48        LED_SMD_0402       761.047mil   4421.811mil    761.047mil   4421.811mil    761.047mil   4439.528mil  T        270.00 LED SMD 0402   
D47        LED_SMD_0402       795.047mil   4319.811mil    795.047mil   4319.811mil    795.047mil   4302.095mil  T         90.00 LED SMD 0402   
D46        LED_SMD_0402      5133.047mil   6677.811mil   5133.047mil   6677.811mil   5115.331mil   6677.811mil  T        360.00 LED SMD 0402   
D45        LED_SMD_0402       801.047mil   4421.811mil    801.047mil   4421.811mil    801.047mil   4404.095mil  T         90.00 LED SMD 0402   
D44        LED_SMD_0402      5013.047mil   7067.811mil   5013.047mil   7067.811mil   5013.047mil   7050.095mil  T         90.00 LED SMD 0402   
D43        LED_SMD_0402      5033.047mil   6677.811mil   5033.047mil   6677.811mil   5015.331mil   6677.811mil  T        360.00 LED SMD 0402   
D42        LED_SMD_0402      5133.047mil   6717.811mil   5133.047mil   6717.811mil   5150.764mil   6717.811mil  T        180.00 LED SMD 0402   
D41        LED_SMD_0402      5030.764mil   6717.811mil   5030.764mil   6717.811mil    5048.48mil   6717.811mil  T        180.00 LED SMD 0402   
D40        LED_SMD_0402      4813.047mil   7067.811mil   4813.047mil   7067.811mil   4813.047mil   7050.095mil  T         90.00 LED SMD 0402   
D39        LED_SMD_0402      4710.047mil   6715.811mil   4710.047mil   6715.811mil   4710.047mil   6733.528mil  T        270.00 LED SMD 0402   
D38        LED_SMD_0402      4613.047mil   7065.528mil   4613.047mil   7065.528mil   4613.047mil   7047.811mil  T         90.00 LED SMD 0402   
